LOG - Thu, 14 Mar 2019 12:28:39

PRIVAT:	Default name & id setup (ID=0, DEFAULT-NAME=Player #1)
PUBLIC:	Player data (ID=0, NAME=Player #1, X=300, Y=300, ROT=0.000000)
PUBLIC:	Server join notification (ID=0)
RECIVE:	Move request (X=336, Y=317, ROT=0.4494305574713173)
PUBLIC:	Player position change (ID=0, NEW-X=336, NEW-Y=317, NEW-ROT=0.449431)
RECIVE:	Move request (X=372, Y=334, ROT=0.45078067206407463)
PUBLIC:	Player position change (ID=0, NEW-X=372, NEW-Y=334, NEW-ROT=0.450781)
RECIVE:	Move request (X=407, Y=351, ROT=0.45265904031807247)
PUBLIC:	Player position change (ID=0, NEW-X=407, NEW-Y=351, NEW-ROT=0.452659)
RECIVE:	Move request (X=436, Y=365, ROT=0.452778471823536)
PUBLIC:	Player position change (ID=0, NEW-X=436, NEW-Y=365, NEW-ROT=0.452778)
RECIVE:	Move request (X=459, Y=375, ROT=0.42599418098862074)
PUBLIC:	Player position change (ID=0, NEW-X=459, NEW-Y=375, NEW-ROT=0.425994)
RECIVE:	Move request (X=478, Y=382, ROT=0.38588266939807375)
PUBLIC:	Player position change (ID=0, NEW-X=478, NEW-Y=382, NEW-ROT=0.385883)
RECIVE:	Move request (X=493, Y=387, ROT=0.3601931444178302)
PUBLIC:	Player position change (ID=0, NEW-X=493, NEW-Y=387, NEW-ROT=0.360193)
RECIVE:	Move request (X=505, Y=391, ROT=0.33596760592613095)
PUBLIC:	Player position change (ID=0, NEW-X=505, NEW-Y=391, NEW-ROT=0.335968)
RECIVE:	Move request (X=492, Y=388, ROT=-2.9660004916396128)
PUBLIC:	Player position change (ID=0, NEW-X=492, NEW-Y=388, NEW-ROT=-2.966000)
RECIVE:	Move request (X=478, Y=388, ROT=3.096169374168216)
PUBLIC:	Player position change (ID=0, NEW-X=478, NEW-Y=388, NEW-ROT=3.096169)
RECIVE:	Move request (X=465, Y=390, ROT=2.981679530431574)
PUBLIC:	Player position change (ID=0, NEW-X=465, NEW-Y=390, NEW-ROT=2.981680)
RECIVE:	Move request (X=451, Y=393, ROT=2.896613990462929)
PUBLIC:	Player position change (ID=0, NEW-X=451, NEW-Y=393, NEW-ROT=2.896614)
RECIVE:	Move request (X=437, Y=398, ROT=2.7844586430689997)
PUBLIC:	Player position change (ID=0, NEW-X=437, NEW-Y=398, NEW-ROT=2.784459)
RECIVE:	Move request (X=425, Y=402, ROT=2.7492525093742772)
PUBLIC:	Player position change (ID=0, NEW-X=425, NEW-Y=402, NEW-ROT=2.749253)
RECIVE:	Move request (X=414, Y=408, ROT=2.6265198365710116)
PUBLIC:	Player position change (ID=0, NEW-X=414, NEW-Y=408, NEW-ROT=2.626520)
RECIVE:	Move request (X=403, Y=415, ROT=2.488746022489019)
PUBLIC:	Player position change (ID=0, NEW-X=403, NEW-Y=415, NEW-ROT=2.488746)
RECIVE:	Move request (X=393, Y=424, ROT=2.334921104168284)
PUBLIC:	Player position change (ID=0, NEW-X=393, NEW-Y=424, NEW-ROT=2.334921)
RECIVE:	Move request (X=383, Y=435, ROT=2.2498016354934407)
PUBLIC:	Player position change (ID=0, NEW-X=383, NEW-Y=435, NEW-ROT=2.249802)
RECIVE:	Move request (X=374, Y=447, ROT=2.162396037130008)
PUBLIC:	Player position change (ID=0, NEW-X=374, NEW-Y=447, NEW-ROT=2.162396)
RECIVE:	Move request (X=365, Y=461, ROT=2.1006453962509632)
